,vx,vy,vrz,rot_g,rot_d,image,x,y,alpha
0,0.0,6.55000538992023e-05,0.0,0.0,0.0,000.png,0.225,0.225000655000539,-0.0
1,-0.01552723985346505,-0.0050403761869731575,0.4802578974063719,-0.9046790511766266,-0.8785084486694733,001.png,0.22654846282853525,0.22526427251606246,0.45944507954597164
2,0.006662749172844413,0.012058431735403287,0.37156348519912397,-1.7480324242427105,-1.6845297159372759,002.png,0.22454258562160972,0.22337753109646324,0.9139944357109121
3,7.180847406590521e-05,0.0018594965599389814,0.49962694662419543,-2.70074443581634,-2.6115441261324186,003.png,0.2254544411345856,0.22325868238266616,1.3921485330373902
4,-0.0011181335215935736,0.0005880725250250593,0.20337423735316998,-3.2632473939766253,-3.3236476826656394,004.png,0.22550400195764603,0.22495897774109433,1.6982828789969757
5,-0.0018520331865697459,0.00623293431302906,0.13358628386487162,-3.558173594165619,-3.5966675673815027,005.png,0.2249999486996838,0.22636862046461328,1.8625475779536707
6,0.03151197710779298,0.1446117174048704,-0.44240536552916193,0.33570987953456394,-5.478551211071835,006.png,0.22021455496790082,0.37372864415618584,1.3578786032401182
7,0.0412810290482372,0.07864383455608066,-0.018237515299734122,3.87783187318022,-7.4042667652700285,007.png,0.2742737573978672,0.49771490974931937,0.9961572049644997
8,0.04828211815765056,0.08765950415007398,0.043799448084197425,6.346696956678298,-9.776525928879865,008.png,0.32393846102540286,0.5833227405797107,0.9917906106737494
9,0.04556890562214308,0.08686510152426359,0.040924713455873854,8.77028404677997,-12.326357935594372,009.png,0.37494188504080456,0.6692065539882959,0.9862813428769688
10,0.05368136361222203,0.08639579253207001,0.007645211340192542,11.276144902934286,-14.845034587928003,010.png,0.42603802832911974,0.7548626059824628,0.9827679988084885
11,0.054514635386423524,0.08490791999485617,-0.04144107660275741,13.696506156562917,-17.308705589345887,011.png,0.4781631346737637,0.8396215353452119,0.9724288427938228
12,0.05349884584979399,0.08421719844276597,-0.0018320872707241918,16.1029277242752,-19.733782789205726,012.png,0.5317320919957986,0.9248951280719451,0.9712783267591175
13,0.04863963283065638,0.0782217060972696,-0.04798177043337398,18.68248249746793,-22.179335740037963,013.png,0.5837484664281292,1.0096411731451753,0.9718641537839648
14,0.05098233290992415,0.08271016950097074,-0.02750447634668482,21.214548060771563,-24.706049522069804,014.png,0.6362372919879431,1.09398771371819,0.9656235364740621
15,0.05789525638234472,0.08638474224078513,-0.04012047385642139,23.72200677738545,-27.2053020251561,015.png,0.6898382255188332,1.17808958382646,0.9583665962591251
16,0.05521411655461027,0.08835938827369601,0.01050708264601899,26.263872761116154,-29.724576527448335,016.png,0.7436596818390685,1.2613548043850886,0.9558523877884171
17,0.04936817067715181,0.08210492124704022,-0.1071555340141291,28.628057195080565,-32.176435903551905,017.png,0.7978478033007464,1.344537484198829,0.9516721004381999
18,0.05342206061160454,0.08654572753220131,0.02340652755604377,31.136604968207877,-34.55155302120099,018.png,0.8525513706220991,1.428030447652894,0.9509267167223131
19,0.052254997012733825,0.08878647317712517,0.040441080560056276,33.702039567041396,-37.05739473556205,019.png,0.9073673029940769,1.5115994286528898,0.9500800137077601
20,0.05470226250778259,0.0813215720924896,-0.11667772845485497,36.07189032242073,-39.50968489258239,020.png,0.9631740535418721,1.5950567706178411,0.9499144292854761
21,0.05736012174789485,0.05886732244705182,-0.2672972658537478,37.954375037464665,-40.39427472287841,021.png,1.0112246910509035,1.6514842249542518,0.7519359043740641
22,0.06764103065459923,0.038102899764912206,-0.16774001673073596,40.029690807171775,-41.56405408021089,022.png,1.0714917092084923,1.6930066210586547,0.5520475949461574
23,0.05825152347247702,0.011313210008215458,-0.20182803536068977,42.57346965769399,-42.86494088135498,023.png,1.1402984009397965,1.718870054302448,0.3620937808765966
